log_id,insect_ID,morphotype,number_individuals,function,level,date sampled,databased,collector,identifyer,site,plot,location,drilled,ants,plot_id,treatment
w4_a.e33_S.D.A,MW0001,Vespula koreensis,2,wasp,host,45775,45776,Wu,Martini M.,A,E33,S,D,A,A_E33,A
w4_a.e33_S.D.A,MW0002,Picardiella sp1,1,wasp,parasite,45775,45776,Wu,Martini M.,A,E33,S,D,A,A_E33,A
w4_b.g28_S.D.A,MW0003,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,B,G28,S,D,A,B_G28,A
w4_a.e33_S.D.nA,MW0004,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,A,E33,S,D,nA,A_E33,nA
w4_b.w10_S.D.nA,MW0005,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,B,W10,S,D,nA,B_W10,nA
w4_a.p23_S.D.A,MW0006,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,A,P23,S,D,A,A_P23,A
w4_a.g24_S.D.nA,MW0007,Vespula koreensis,2,wasp,host,45775,45776,Wu,Martini M.,A,G24,S,D,nA,A_G24,nA
w4_a.g24_S.D.nA,MW0008,Auplopus sp6,1,wasp,host,45775,45776,Wu,Martini M.,A,G24,S,D,nA,A_G24,nA
w4_a.p23_G.D,MW0009,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,A,P23,G,D,A,A_P23,G
w4_a.p23_G.D,MW0010,Deuteragenia sp1,1,wasp,host,45775,45776,Wu,Martini M.,A,P23,G,D,A,A_P23,G
w4_a.j21_S.D.A,MW0011,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,A,J21,S,D,A,A_J21,A
w4_a.j21_G.D,MW0012,Vespula koreensis,1,wasp,host,45775,45776,Wu,Martini M.,A,J21,G,D,A,A_J21,G
w4_a.j21_G.D,MW0013,Irenangelus hikosanus,4,wasp,parasite,45775,45776,Wu,Martini M.,A,J21,G,D,A,A_J21,G
w4_a.j21_G.D,MW0014,Deuteragenia sp1,1,wasp,host,45775,45776,Wu,Martini M.,A,J21,G,D,A,A_J21,G
w4_a.r14_S.D.nA,MW0015,Picardiella sp1,4,wasp,parasite,45775,45776,Wu,Martini M.,A,R14,S,D,nA,A_R14,nA
w4_a.r14_S.D.nA,MW0016,Discoelius wangi,4,wasp,host,45775,45776,Wu,Martini M.,A,R14,S,D,nA,A_R14,nA
w4_a.e31_S.D.nA,MW0017,Anterhynchium flavomarginatum,1,wasp,host,45775,45776,Wu,Martini M.,A,E31,S,D,nA,A_E31,nA
w4_a.e31_S.D.nA,MW0018,Leucospis sp1,1,wasp,parasite,45775,45776,Wu,Martini M.,A,E31,S,D,nA,A_E31,nA
w4_a.e31_S.D.A,MW0019,Rhopalum latronum,12,wasp,host,45775,45776,Wu,Martini M.,A,E31,S,D,A,A_E31,A
w4_a.e31_S.D.A,MW0020,Anterhynchium flavomarginatum,1,wasp,host,45775,45776,Wu,Martini M.,A,E31,S,D,A,A_E31,A
w4_a.n11_S.D.A,MW0021,Trypoxylon bicolor,5,wasp,host,45775,45776,Wu,Martini M.,A,N11,S,D,A,A_N11,A
w4_a.L11_S.D.A,MW0022,Discoelius wangi,1,wasp,host,45775,45776,Wu,Martini M.,A,L11,S,D,A,A_L11,A
