log_id,site,plot,position,ants,treatment,plot_id,tree_r,cnpy_cov,cnpy_prop,host_abund,host_rich,par_abund,par_rich,ant_trap,ant_pres,cwd_vol,cwd_vol_imp,ant_w_occ,wantoc_imp,mc_mass,mc_imp,geomorph,geo_cat
w4_a.c32_G.D,A,C32,G,A,G,A_C32,2,92.17,0.9217,0,0,0,0,1,1,0.4820869,0.4820869,12,12,0.314078914,0.314078914,Hollow,3
w4_a.c32_S.D.A,A,C32,S,A,A,A_C32,2,92.17,0.9217,6,2,2,1,0,0,0.4820869,0.4820869,12,12,0.06221735,0.06221735,Hollow,3
w4_a.c32_S.D.nA,A,C32,S,nA,nA,A_C32,2,92.17,0.9217,0,0,0,0,0,0,0.4820869,0.4820869,12,12,0.111085973,0.111085973,Hollow,3
w4_a.e31_G.D,A,E31,G,A,G,A_E31,1,90.86,0.9086,1,1,0,0,0,0,0.3367017,0.3367017,35,35,0.137852823,0.137852823,Spur,1
w4_a.e31_S.D.A,A,E31,S,A,A,A_E31,1,90.86,0.9086,22,2,1,1,0,0,0.3367017,0.3367017,35,35,0.108712217,0.108712217,Spur,1
w4_a.e31_S.D.nA,A,E31,S,nA,nA,A_E31,1,90.86,0.9086,37,3,5,2,0,0,0.3367017,0.3367017,35,35,0.117870722,0.117870722,Spur,1
w4_a.e33_G.D,A,E33,G,A,G,A_E33,1,79.24,0.7924,5,2,0,0,0,0,0.1057311,0.1057311,25,25,0.313047891,0.313047891,Hollow,3
w4_a.e33_S.D.A,A,E33,S,A,A,A_E33,1,79.24,0.7924,29,3,6,2,0,0,0.1057311,0.1057311,25,25,0.199536142,0.199536142,Hollow,3
w4_a.e33_S.D.nA,A,E33,S,nA,nA,A_E33,1,79.24,0.7924,38,4,0,0,0,0,0.1057311,0.1057311,25,25,0.15727003,0.15727003,Hollow,3
w4_a.e34_G.D,A,E34,G,A,G,A_E34,1,30.26,0.3026,3,1,0,0,484,1,0.4415837,0.4415837,23,23,0.229358369,0.229358369,Hollow,3
w4_a.e34_S.D.A,A,E34,S,A,A,A_E34,1,30.26,0.3026,57,4,0,0,58,1,0.4415837,0.4415837,23,23,0.162757841,0.162757841,Hollow,3
w4_a.e34_S.D.nA,A,E34,S,nA,nA,A_E34,1,30.26,0.3026,35,3,1,1,0,0,0.4415837,0.4415837,23,23,0.112106689,0.112106689,Hollow,3
w4_a.f21_G.D,A,F21,G,A,G,A_F21,1,60.57,0.6057,0,0,0,0,0,0,0.12169,0.12169,17,17,0.207457264,0.207457264,Slope,2
w4_a.f21_S.D.A,A,F21,S,A,A,A_F21,1,60.57,0.6057,39,4,5,2,0,0,0.12169,0.12169,17,17,0.129467414,0.129467414,Slope,2
w4_a.f21_S.D.nA,A,F21,S,nA,nA,A_F21,1,60.57,0.6057,11,3,0,0,0,0,0.12169,0.12169,17,17,0.063217192,0.063217192,Slope,2
w4_a.f27_G.D,A,F27,G,A,G,A_F27,4,67.42,0.6742,4,1,0,0,0,0,0.1253713,0.1253713,30,30,0.170254403,0.170254403,Slope,2
w4_a.f27_S.D.A,A,F27,S,A,A,A_F27,4,67.42,0.6742,17,2,1,1,0,0,0.1253713,0.1253713,30,30,0.10046729,0.10046729,Slope,2
w4_a.f27_S.D.nA,A,F27,S,nA,nA,A_F27,4,67.42,0.6742,17,3,1,1,0,0,0.1253713,0.1253713,30,30,0.110723627,0.110723627,Slope,2
w4_a.g24_G.D,A,G24,G,A,G,A_G24,1,49.82,0.4982,3,1,0,0,104,1,0.0732436,0.0732436,13,13,0.399157606,0.399157606,Slope,2
w4_a.g24_S.D.A,A,G24,S,A,A,A_G24,1,49.82,0.4982,26,2,0,0,0,0,0.0732436,0.0732436,13,13,0.145116984,0.145116984,Slope,2
w4_a.g24_S.D.nA,A,G24,S,nA,nA,A_G24,1,49.82,0.4982,12,4,0,0,0,0,0.0732436,0.0732436,13,13,0.118458164,0.118458164,Slope,2
w4_a.h31_G.D,A,H31,G,A,G,A_H31,2,87.79,0.8779,0,0,0,0,13,1,0.0211266,0.0211266,19,19,0.482342808,0.482342808,Slope,2
w4_a.h31_S.D.A,A,H31,S,A,A,A_H31,2,87.79,0.8779,21,2,5,1,0,0,0.0211266,0.0211266,19,19,0.115005398,0.115005398,Slope,2
w4_a.h31_S.D.nA,A,H31,S,nA,nA,A_H31,2,87.79,0.8779,0,0,0,0,0,0,0.0211266,0.0211266,19,19,0.12037979,0.12037979,Slope,2
w4_a.i27_G.D,A,I27,G,A,G,A_I27,2,24.6,0.246,0,0,0,0,0,0,0.0078914,0.0078914,6,6,0.283908755,0.283908755,Ridge,1
w4_a.i27_S.D.A,A,I27,S,A,A,A_I27,2,24.6,0.246,5,4,2,1,0,0,0.0078914,0.0078914,6,6,0.075683639,0.075683639,Ridge,1
w4_a.i27_S.D.nA,A,I27,S,nA,nA,A_I27,2,24.6,0.246,0,0,0,0,0,0,0.0078914,0.0078914,6,6,0.079806625,0.079806625,Ridge,1
w4_a.i28_G.D,A,I28,G,A,G,A_I28,1,39.45,0.3945,3,2,0,0,0,0,0.0282363,0.0282363,13,13,0.267015981,0.267015981,Ridge,1
w4_a.i28_S.D.A,A,I28,S,A,A,A_I28,1,39.45,0.3945,3,2,0,0,0,0,0.0282363,0.0282363,13,13,0.104472229,0.104472229,Ridge,1
w4_a.i28_S.D.nA,A,I28,S,nA,nA,A_I28,1,39.45,0.3945,5,1,0,0,0,0,0.0282363,0.0282363,13,13,0.077455785,0.077455785,Ridge,1
w4_a.j21_G.D,A,J21,G,A,G,A_J21,2,88.62,0.8862,8,4,4,1,6,1,0.081425,0.081425,16,16,0.188276205,0.188276205,Slope,2
w4_a.j21_S.D.A,A,J21,S,A,A,A_J21,2,88.62,0.8862,2,2,2,2,2,1,0.081425,0.081425,16,16,0.142098274,0.142098274,Slope,2
w4_a.j21_S.D.nA,A,J21,S,nA,nA,A_J21,2,88.62,0.8862,2,1,4,1,0,0,0.081425,0.081425,16,16,0.11484522,0.11484522,Slope,2
w4_a.k19_G.D,A,K19,G,A,G,A_K19,1,84.28,0.8428,10,2,1,1,0,0,0.1560194,0.1560194,7,7,0.197275748,0.197275748,Spur,1
w4_a.k19_S.D.A,A,K19,S,A,A,A_K19,1,84.28,0.8428,11,2,1,1,0,0,0.1560194,0.1560194,7,7,0.121076974,0.121076974,Spur,1
w4_a.k19_S.D.nA,A,K19,S,nA,nA,A_K19,1,84.28,0.8428,3,1,0,0,0,0,0.1560194,0.1560194,7,7,0.103963084,0.103963084,Spur,1
w4_a.L10_G.D,A,L10,G,A,G,A_L10,1,92.3,0.923,0,0,0,0,0,0,0.0960963,0.0960963,10,10,0.53081914,0.53081914,Slope,2
w4_a.L10_S.D.A,A,L10,S,A,A,A_L10,1,92.3,0.923,17,2,1,1,0,0,0.0960963,0.0960963,10,10,0.227479068,0.227479068,Slope,2
w4_a.L10_S.D.nA,A,L10,S,nA,nA,A_L10,1,92.3,0.923,11,1,0,0,0,0,0.0960963,0.0960963,10,10,0.158202876,0.158202876,Slope,2
w4_a.L11_G.D,A,L11,G,A,G,A_L11,1,93.16,0.9316,0,0,0,0,0,0,0.4190164,0.4190164,20,20,0.384028593,0.384028593,Slope,2
w4_a.L11_S.D.A,A,L11,S,A,A,A_L11,1,93.16,0.9316,12,4,6,2,0,0,0.4190164,0.4190164,20,20,0.166458385,0.166458385,Slope,2
w4_a.L11_S.D.nA,A,L11,S,nA,nA,A_L11,1,93.16,0.9316,10,1,0,0,0,0,0.4190164,0.4190164,20,20,0.18005282,0.18005282,Slope,2
w4_a.L22_G.D,A,L22,G,A,G,A_L22,16,91.33,0.9133,5,2,1,1,0,0,0.1841645,0.1841645,3,3,0.284385215,0.284385215,Ridge,1
w4_a.L22_S.D.A,A,L22,S,A,A,A_L22,16,91.33,0.9133,2,1,1,1,0,0,0.1841645,0.1841645,3,3,0.100080494,0.100080494,Ridge,1
w4_a.L22_S.D.nA,A,L22,S,nA,nA,A_L22,16,91.33,0.9133,4,2,1,1,0,0,0.1841645,0.1841645,3,3,0.080293995,0.080293995,Ridge,1
w4_a.n11_G.D,A,N11,G,A,G,A_N11,1,2.3,0.023,1,1,0,0,0,0,0.0198994,0.0198994,8,8,0.224728188,0.224728188,Spur,1
w4_a.n11_S.D.A,A,N11,S,A,A,A_N11,1,2.3,0.023,19,3,0,0,0,0,0.0198994,0.0198994,8,8,0.13546798,0.13546798,Spur,1
w4_a.n11_S.D.nA,A,N11,S,nA,nA,A_N11,1,2.3,0.023,22,5,0,0,0,0,0.0198994,0.0198994,8,8,0.109610877,0.109610877,Spur,1
w4_a.n13_G.D,A,N13,G,A,G,A_N13,1,33.81,0.3381,0,0,0,0,0,0,0.1302511,0.1302511,8,8,0.390589621,0.390589621,Slope,2
w4_a.n13_S.D.A,A,N13,S,A,A,A_N13,1,33.81,0.3381,2,1,1,1,0,0,0.1302511,0.1302511,8,8,0.263623596,0.263623596,Slope,2
w4_a.n13_S.D.nA,A,N13,S,nA,nA,A_N13,1,33.81,0.3381,5,1,0,0,283,1,0.1302511,0.1302511,8,8,0.417237878,0.417237878,Slope,2
